name, Voelligkeit_VSsoll, Voelligkeit_HS, LCB, Bugwulstlaenge, Voelligkeit_BW, WinkelDucktail, eval_cw, eval_CT,Anz
NeoOpt1106BW_20_des0142, 0.098678882, 0.3, 0.17579293, 6.1646175, 0.73659201, -8.1391311, 4.6523161e-05, 0.0017134221,142
NeoOpt1106BW_20_des0143, 0.098776266, 0.30014026, 0.17576259, 6.1643593, 0.73633776, -8.1382813, 4.6999168e-05, 0.0017139686,143
NeoOpt1106BW_20_des0144, 0.098788768, 0.3, 0.17578872, 6.1643387, 0.73605828, -8.1417312, 4.671995e-05, 0.0017136185,144
NeoOpt1106BW_20_des0145, 0.098814242, 0.3, 0.17569746, 6.164371, 0.73634984, -8.1379508, 4.655388e-05, 0.0017135136,145
NeoOpt1106BW_20_des0146, 0.098769076, 0.3, 0.1758, 6.1643442, 0.73618602, -8.1402202, 4.6975314e-05, 0.0017137874,146
NeoOpt1106BW_20_des0147, 0.098743295, 0.3, 0.17578135, 6.1642164, 0.73631201, -8.1389145, 4.5881083e-05, 0.0017128079,147
NeoOpt1106BW_20_des0148, 0.098727229, 0.3, 0.17579259, 6.164513, 0.73644879, -8.1387974, 4.6547204e-05, 0.0017134423,148
NeoOpt1106BW_20_des0149, 0.098773046, 0.3, 0.17579729, 6.1642853, 0.73629768, -8.1379526, 4.5653298e-05, 0.0017125695,149
NeoOpt1106BW_20_des0150, 0.09879085, 0.3, 0.17577807, 6.1642679, 0.73629885, -8.1375036, 4.5985409e-05, 0.0017128497,150
NeoOpt1106BW_20_des0151, 0.098785229, 0.30000022, 0.17579966, 6.1642534, 0.73632642, -8.1381377, 4.5724235e-05, 0.0017126094,151
NeoOpt1106BW_20_des0152, 0.098777207, 0.3, 0.17581314, 6.1642519, 0.73622412, -8.138061, 4.6456604e-05, 0.0017133777,152
NeoOpt1106BW_20_des0153, 0.098773113, 0.300045, 0.1757973, 6.1642851, 0.73629779, -8.1379536, 4.5805984e-05, 0.0017126852,153
NeoOpt1106BW_20_des0154, 0.098755545, 0.3, 0.17580205, 6.1643403, 0.73637113, -8.1375795, 4.587611e-05, 0.0017127206,154
NeoOpt1106BW_20_des0155, 0.27892792, 0.98933171, 0.1109136, 6.488392, 1.0664573, -8.9059814, 1.9372639e-05, 0.0020737117,155
NeoOpt1106BW_20_des0156, 0.31892792, 0.98933171, 0.1109136, 6.488392, 1.0664573, -8.9059814, 1.4461717e-05, 0.0020750044,156
NeoOpt1106BW_20_des0157, 0.27892792, 1.0793317, 0.1109136, 6.488392, 1.0664573, -8.9059814, 4.2792424e-05, 0.002157748,157
NeoOpt1106BW_20_des0158, 0.27892792, 0.98933171, 0.1359136, 6.488392, 1.0664573, -8.9059814, 1.4169655e-05, 0.0020663515,158
NeoOpt1106BW_20_des0159, 0.27892792, 0.98933171, 0.1359136, 6.668392, 1.0664573, -8.9059814, 1.544433e-05, 0.0020675012,159
NeoOpt1106BW_20_des0160, 0.27892792, 0.98933171, 0.1359136, 6.488392, 1.1664573, -8.9059814, 2.8424951e-05, 0.0020815649,160
NeoOpt1106BW_20_des0161, 0.27892792, 0.98933171, 0.1359136, 6.488392, 1.0664573, -7.9059814, 2.5067482e-05, 0.0020933407,161
NeoOpt1106BW_20_des0162, 0.27835387, 0.9051861, 0.13796061, 6.4860891, 1.0495361, -9.2062471, 4.7613162e-06, 0.0019985049,162
NeoOpt1106BW_20_des0163, 0.27759908, 0.82557802, 0.14065211, 6.4830612, 1.0272873, -9.6010492, -2.8581178e-06, 0.0019382114,163
NeoOpt1106BW_20_des0164, 0.27672713, 0.76144601, 0.14838258, 6.4462905, 0.98310041, -10, 3.7298946e-07, 0.0018987497,164
NeoOpt1106BW_20_des0165, 0.27615357, 0.69414475, 0.15163828, 6.4352744, 1.0478999, -10, 1.2487979e-05, 0.0018709174,165
NeoOpt1106BW_20_des0166, 0.24858091, 0.65515852, 0.13734768, 6.4242779, 1.0397077, -10, 1.0387452e-05, 0.0018501219,166
NeoOpt1106BW_20_des0167, 0.27214382, 0.60853479, 0.1221264, 6.412994, 1.0297094, -10, 1.5158695e-05, 0.001833044,167
NeoOpt1106BW_20_des0168, 0.27161968, 0.63182206, 0.1081127, 6.3662451, 1.103953, -10, 5.7739012e-06, 0.0018450499,168
NeoOpt1106BW_20_des0169, 0.2721784, 0.61029881, 0.12053987, 6.4765168, 1.0365817, -9.6589378, 1.3813216e-05, 0.0018339999,169
NeoOpt1106BW_20_des0170, 0.27105306, 0.59446476, 0.11786406, 6.5852365, 1.0470547, -10, 1.5220612e-05, 0.0018280217,170
NeoOpt1106BW_20_des0171, 0.2705899, 0.56439153, 0.12373637, 6.574016, 1.0742338, -9.9273255, 1.6727699e-05, 0.0018136462,171
NeoOpt1106BW_20_des0172, 0.26523354, 0.47540503, 0.12494502, 6.5688837, 1.0725253, -9.8953606, 3.1053438e-05, 0.0017881242,172
NeoOpt1106BW_20_des0173, 0.28712257, 0.41133756, 0.134784, 6.5815229, 1.0897569, -9.9608286, 3.9746159e-05, 0.0017717958,173
NeoOpt1106BW_20_des0174, 0.26768282, 0.35501663, 0.14881167, 6.5974547, 1.1116636, -10, 5.8419209e-05, 0.0017636323,174
NeoOpt1106BW_20_des0175, 0.26932308, 0.31248555, 0.13653028, 6.5610292, 1.1818572, -10, 6.6289409e-05, 0.0017594401,175
